,Unnamed: 0,id,pv_area_id,time_created,obstacle,type
10,10,4655,87,2021-06-03 16:14:13,"MULTIPOLYGON (((48.41098157854335 11.99297660343933, 48.41098667940354 11.99297771655607, 48.4109864123428 11.99298764072943, 48.41098187231017 11.99298804306078, 48.41098178328992 11.9929907252698, 48.41097866758125 11.99299085938025, 48.41097831150026 11.99298643373537, 48.41098184560409 11.99298532061863, 48.41098157854335 11.99297660343933)), ((48.41096048074464 11.99289196633387, 48.4109620831091 11.99289438032198, 48.4109738337818 11.99289344154882, 48.41097418986279 11.99290309750128, 48.4109605697649 11.99290257447052, 48.41096048074464 11.99289196633387)), ((48.41095198821301 11.99287015997458, 48.41095544219863 11.99287084393787, 48.41095694664081 11.99286562704134, 48.41096582195951 11.99286562704134, 48.41096807417178 11.99287175588894, 48.41096491395298 11.99287876986551, 48.41095619887073 11.99287787132549, 48.41095574486747 11.99287333839226, 48.41095213954743 11.99287242644119, 48.41095198821301 11.99287015997458)))",shadow
11,11,4656,87,2021-06-03 16:14:13,"MULTIPOLYGON (((48.41095063510525 11.99286223404694, 48.41094672711638 11.99286291801024, 48.41094792888972 11.99287537687111, 48.41095153420975 11.99287583284664, 48.41095063510525 11.99286223404694)), ((48.41095994662316 11.9928892975359, 48.41095229088186 11.99288943164635, 48.41095300304384 11.99290230624962, 48.4109605697649 11.99290257447052, 48.41095994662316 11.9928892975359)), ((48.41105849203736 11.99302085988808, 48.41105502024769 11.99302260332394, 48.41098300286731 11.9928084289341, 48.41098620759623 11.99280708782959, 48.41105849203736 11.99302085988808)), ((48.41098482778239 11.99296977721739, 48.41098130258058 11.99297235213804, 48.41095929677535 11.9929041167407, 48.41096196738278 11.99290170275259, 48.41098482778239 11.99296977721739)))",unknown
12,12,4657,87,2021-06-03 16:14:13,"MULTIPOLYGON (((48.41098122246236 11.99297418945122, 48.4109740118223 11.99297459178257, 48.41097543614626 11.99298666172314, 48.41098184560409 11.99298532061863, 48.41098122246236 11.99297418945122)))",chimney
13,13,4658,87,2021-06-03 16:14:13,"MULTIPOLYGON (((48.4109717863161 11.99298786871719, 48.41092745423275 11.99303306393909, 48.4109312821034 11.9930425857811, 48.41097472398427 11.99299940221596, 48.4109717863161 11.99298786871719)))",ladder
14,14,4659,88,2021-06-03 16:14:13,"MULTIPOLYGON (((48.41034143896151 11.98916209773207, 48.41041707143851 11.98919899151707, 48.41040848088527 11.98920419500256, 48.41040976279166 11.98921444104099, 48.41036477143823 11.98921906785154, 48.41036387232333 11.98922679261351, 48.41035810374458 11.98923316285992, 48.41035143605092 11.98922757045412, 48.41033861698703 11.98922775820875, 48.41033785140404 11.98923316285992, 48.41033246561678 11.98923297510529, 48.4103302845955 11.98924244330311, 48.41032618071462 11.98923664973164, 48.41032387506354 11.98922621593857, 48.41031143879113 11.9892291127243, 48.41031157232305 11.98921849117661, 48.4103165664167 11.98922061012173, 48.41033054275719 11.98921674774075, 48.41032656350611 11.98920014486694, 48.41032772078271 11.98919550464535, 48.41033502942956 11.98919802592182, 48.41034292561684 11.98919282243633, 48.41034604136154 11.98918356881523, 48.41034220454449 11.98917812393093, 48.41034143896151 11.98916209773207)), ((48.41037871217022 11.98922246084595, 48.41038583387238 11.9892233996191, 48.41038592289366 11.98923882232094, 48.41038369736173 11.98923909054184, 48.41038343029791 11.9892413704195, 48.41037853412767 11.98924096808815, 48.41037871217022 11.98922246084595)), ((48.41039997045118 11.98938087211037, 48.41040445712355 11.98938103304291, 48.41040445712355 11.98938280330086, 48.41040798236612 11.98938392982864, 48.41040817821293 11.98938811407471, 48.4104065936342 11.98938811407471, 48.4104065936342 11.9893908499279, 48.41039858171926 11.98939117179298, 48.41039900902139 11.98938618288422, 48.41039997045118 11.98938602195168, 48.41039997045118 11.98938087211037)))",shadow
15,15,4660,88,2021-06-03 16:14:13,"MULTIPOLYGON (((48.41037844510639 11.98922192440414, 48.41037176851061 11.98922152207279, 48.41037230263827 11.98923855410004, 48.41037844510639 11.98923922465229, 48.41037844510639 11.98922192440414)))",chimney
16,16,4661,88,2021-06-03 16:14:13,"MULTIPOLYGON (((48.41036108595735 11.98934557423973, 48.41034862297857 11.98937239632988, 48.41037728782978 11.98939519510651, 48.41038351931918 11.98938366160774, 48.41036108595735 11.98934557423973)), ((48.41039903572777 11.98938002721453, 48.41039038285964 11.98937974558258, 48.41039073894475 11.98938654498243, 48.4103990446299 11.98938736305618, 48.41039903572777 11.98938002721453)))",unknown
17,17,4487,17,2021-06-03 16:14:13,"MULTIPOLYGON (((48.39691693847989 11.99844348969936, 48.39692477442626 11.99844402614117, 48.39692477442626 11.99844134393215, 48.39692717863708 11.9984412098217, 48.39692735672676 11.99843584540367, 48.39692878144429 11.99843463840961, 48.39692334970874 11.99842444601536, 48.39692139072214 11.99842726233482, 48.39692477442626 11.99843329730511, 48.39691693847989 11.99844348969936)))",shadow
18,18,4662,88,2021-06-03 16:14:13,"MULTIPOLYGON (((48.41034111848492 11.989161480824, 48.41034202650194 11.98917807028675, 48.41034580990621 11.98918323353911, 48.41034274757428 11.98919247374916, 48.41033480687637 11.98919790522242, 48.41032740920824 11.98919491455936, 48.41032632314866 11.98920062766457, 48.41033029349762 11.98921666727448, 48.4103164061784 11.98922046260023, 48.41031134976986 11.98921829001093, 48.41031117172731 11.98922889814758, 48.41030413904642 11.98923514769459, 48.4103184625699 11.98915144936228, 48.41034111848492 11.989161480824)))",tree
19,19,4663,89,2021-06-03 16:14:13,"MULTIPOLYGON (((48.41036152224636 11.98987971384382, 48.41037385169687 11.98987971384382, 48.41037731462557 11.98989262868023, 48.41037385169687 11.9898921727047, 48.41037340659035 11.98989466715908, 48.41035867356465 11.98989533771134, 48.41035881599874 11.98989059020138, 48.4103628842723 11.98989013422585, 48.41036152224636 11.98987971384382)))",shadow
20,20,4664,89,2021-06-03 16:14:13,"MULTIPOLYGON (((48.4103605074035 11.98987457741356, 48.41035285157142 11.98987497974491, 48.41035383080575 11.98989147533035, 48.41036264391478 11.98988973189449, 48.4103605074035 11.98987457741356)))",chimney
21,21,4665,90,2021-06-03 16:14:13,"MULTIPOLYGON (((48.40975062589283 11.98999445201683, 48.40974804424457 11.98999445201683, 48.40974796412446 11.99000067474175, 48.40975065259954 11.99000067474175, 48.40975062589283 11.98999445201683)), ((48.409715079267 11.99007072063017, 48.40971225725838 11.99007245065498, 48.40974366434477 11.99018020840216, 48.40974661098468 11.9901775127821, 48.409715079267 11.99007072063017)))",unknown
22,22,4666,90,2021-06-03 16:14:13,"MULTIPOLYGON (((48.40969021532361 11.98998396457958, 48.40974822228928 11.98998879255581, 48.40974790180881 11.98999619545269, 48.40968957436267 11.98999168934155, 48.40969021532361 11.98998396457958)))",ladder
25,25,4667,90,2021-06-03 16:14:13,"MULTIPOLYGON (((48.40977448388362 11.98998251618671, 48.40977456400375 11.98999484093714, 48.40977181321301 11.98999502869177, 48.40977168858172 11.98999785842228, 48.40976504751414 11.98999805958796, 48.40976504751414 11.9899952164464, 48.40976341840506 11.98999484093714, 48.40976354303636 11.98998635174561, 48.40976629382708 11.98998635174561, 48.40976655199191 11.98998275758553, 48.40977448388362 11.98998251618671)), ((48.40976106821492 11.99003261985111, 48.40976115723728 11.99004294635582, 48.40976017799139 11.99004308046627, 48.40976008896903 11.99004522623348, 48.4097545695831 11.99004562856483, 48.40975448056075 11.99004334868717, 48.40975314522544 11.99004321457672, 48.40975311851874 11.99003240527439, 48.40976106821492 11.99003261985111)), ((48.40974795522222 11.99001309336948, 48.40974439432807 11.99001349570084, 48.40974412726101 11.99001886011887, 48.40974813326693 11.99001899422932, 48.40974795522222 11.99001309336948)))",chimney
26,26,4668,90,2021-06-03 16:14:13,"MULTIPOLYGON (((48.40975089295989 11.99006834687519, 48.40973620427153 11.99007585706043, 48.40974092245628 11.99009503485489, 48.40975463189875 11.99008658589649, 48.40975089295989 11.99006834687519)), ((48.40973816276332 11.99002878429222, 48.40972641181263 11.99003548981476, 48.40973095195267 11.99005560638237, 48.40974332605983 11.99004702331352, 48.40973816276332 11.99002878429222)), ((48.40979834187442 11.99001108171272, 48.40980804531097 11.99004849852848, 48.4097943358685 11.99005051018524, 48.40978436536489 11.99000987471867, 48.40979834187442 11.99001108171272)))",window
27,27,4669,90,2021-06-03 16:14:13,"MULTIPOLYGON (((48.40977443937245 11.98998974474001, 48.4097828341804 11.98998955698538, 48.409783083443 11.9899912601881, 48.4097954931591 11.989991823452, 48.40979574242169 11.98999993713427, 48.40979135361965 11.98999993713427, 48.40979060583188 11.99000220360088, 48.40976742441098 11.99000315578508, 48.40976754904227 11.98999824734259, 48.40977164407055 11.98999801935482, 48.4097717330929 11.98999533714581, 48.40977467973281 11.9899950689249, 48.40977443937245 11.98998974474001)), ((48.40976115723728 11.99003516794968, 48.40976382790789 11.99003503383923, 48.4097640059526 11.99004013003635, 48.40976551933261 11.99004066647816, 48.40976551933261 11.99004334868717, 48.4097664985785 11.99004348279762, 48.4097664985785 11.99004603089619, 48.40976391693024 11.99004603089619, 48.40976391693024 11.99004884721565, 48.40975750732078 11.9900481766634, 48.40975741829842 11.99004562856483, 48.40976026701374 11.99004562856483, 48.4097603560361 11.99004321457672, 48.40976133528198 11.99004334868717, 48.40976115723728 11.99003516794968)))",shadow
28,28,4670,92,2021-06-03 16:14:13,"MULTIPOLYGON (((48.41287417060731 11.98366633827686, 48.41287871046084 11.98363951618671, 48.41297057573223 11.98369651312828, 48.41296487866114 11.98372145767212, 48.41287417060731 11.98366633827686)), ((48.41297048671549 11.98372521276474, 48.41297556066944 11.98369678134918, 48.41306938430902 11.98375082786083, 48.41306422133834 11.98377805228233, 48.41297048671549 11.98372521276474)), ((48.41289660282474 11.98358842010498, 48.4128843185152 11.98362489814758, 48.41307187677762 11.98373446638584, 48.4130839830537 11.98369986588955, 48.41289660282474 11.98358842010498)))",pvmodule
29,29,6773,28,2021-06-10 08:03:34,"MULTIPOLYGON (((48.41313468197637 11.98688641410351, 48.413136658142 11.98688625317097, 48.41313656022388 11.98688885491371, 48.41315221822091 11.98688827823877, 48.41315212920444 11.98689089339256, 48.41315405196018 11.98689089339256, 48.41315405196018 11.98689957033872, 48.41313088987476 11.98689943622827, 48.41313079195665 11.98689682107448, 48.41312301191719 11.98689696859598, 48.41312301191719 11.98689507763862, 48.41312747164233 11.98689472895145, 48.41312747164233 11.98689258318424, 48.41313450394343 11.98689218085289, 48.41313468197637 11.98688641410351)), ((48.41312372404894 11.98698864650011, 48.41314352131182 11.98698648732185, 48.41314380616452 11.98699037652492, 48.41310726490369 11.98700537007332, 48.41310592965664 11.98699513744593, 48.41312372404894 11.98698864650011)), ((48.4131231098353 11.98688595812797, 48.41312147193226 11.98688625317097, 48.41312118707956 11.98689408522129, 48.41312329676989 11.98689392428875, 48.4131231098353 11.98688595812797)))",shadow
30,30,4671,92,2021-06-03 16:14:13,"MULTIPOLYGON (((48.41293488002115 11.98373245472908, 48.41294983483278 11.98373916025162, 48.41294529497925 11.98376973743439, 48.41292971705047 11.98376330013275, 48.41293488002115 11.98373245472908)), ((48.41296487866114 11.98375216896534, 48.41297235606694 11.98375538761616, 48.41296959654814 11.98377309019566, 48.41296238619253 11.98377027387619, 48.41296487866114 11.98375216896534)), ((48.41299469926764 11.98363053078651, 48.41300199863998 11.9836362975359, 48.41299834895381 11.98364729459286, 48.41299096056474 11.98364260072708, 48.41299469926764 11.98363053078651)), ((48.41301481704995 11.98364378089905, 48.41302211642228 11.98364954764843, 48.41301846673611 11.98366054470539, 48.41301107834704 11.98365585083962, 48.41301481704995 11.98364378089905)), ((48.41303456986363 11.98365489865541, 48.41304186923597 11.9836606654048, 48.4130382195498 11.98367166246176, 48.41303083116073 11.98366696859598, 48.41303456986363 11.98365489865541)), ((48.41297236496862 11.9836179109931, 48.41297966434096 11.98362367774248, 48.41297601465479 11.98363467479944, 48.41296862626572 11.98362998093367, 48.41297236496862 11.9836179109931)), ((48.41294817912149 11.98360345388651, 48.41295547849383 11.98360922063589, 48.41295182880766 11.98362021769285, 48.41294444041858 11.98361552382708, 48.41294817912149 11.98360345388651)), ((48.41297778608784 11.98375927681923, 48.41298677677815 11.98376195902824, 48.41298383922587 11.98378355081081, 48.41297493755228 11.98378046627045, 48.41297778608784 11.98375927681923)))",window
31,31,4672,92,2021-06-03 16:14:13,"MULTIPOLYGON (((48.41295822911097 11.98367555166483, 48.41296081059631 11.98367638314962, 48.41296063256284 11.98368028576374, 48.41295860298126 11.98368056739569, 48.41295822911097 11.98367555166483)), ((48.41297779498951 11.98368528808355, 48.41298056341 11.98368611956835, 48.41298037647485 11.98369085366726, 48.41297779498951 11.98369057203531, 48.41297779498951 11.98368528808355)), ((48.41299588319023 11.98369530613422, 48.41299311476975 11.98369613761902, 48.41299366667351 11.98370113993883, 48.41299662202914 11.98370085830689, 48.41299588319023 11.98369530613422)), ((48.41296832360882 11.98359969879389, 48.41296850164228 11.9836124661088, 48.41297897001042 11.9836141022563, 48.41298293125516 11.98360703463555, 48.41296832360882 11.98359969879389)))",unknown
32,32,4673,92,2021-06-03 16:14:13,"MULTIPOLYGON (((48.41304631117109 11.98378731931448, 48.41305138512503 11.98383938099146, 48.41303886047029 11.98383164281845, 48.41303847769834 11.983838053298, 48.41303413368163 11.98383303756714, 48.41304631117109 11.98378731931448)), ((48.41292030798149 11.98371874864102, 48.41292464309653 11.98376364881992, 48.4129130620192 11.98375640685558, 48.41291201162171 11.98376659924984, 48.41290749847321 11.98376387680769, 48.41292030798149 11.98371874864102)))",shadow
33,33,4674,92,2021-06-03 16:14:13,"MULTIPOLYGON (((48.41303413368163 11.98383303756714, 48.41301561820057 11.98381265277863, 48.41299283881786 11.98381103004217, 48.41300763339936 11.98376740391254, 48.41302964723814 11.98376454735994, 48.41304631117109 11.98378731931448, 48.41303413368163 11.98383303756714)), ((48.41286906994834 11.98373179758787, 48.41287953831648 11.98369266415835, 48.41290425826402 11.98368939186335, 48.41292030798149 11.98371874864102, 48.41290821950877 11.98375924999714, 48.41288832426831 11.98374023313522, 48.41286906994834 11.98373179758787)))",dormer
34,34,4676,94,2021-06-03 16:14:13,"MULTIPOLYGON (((48.41259637573911 11.98372117767906, 48.4125910347005 11.98372077534771, 48.41259126614551 11.9837305922327, 48.41259651816681 11.98373039106703, 48.41259637573911 11.98372117767906)), ((48.41266957467319 11.98356650809622, 48.412666966466 11.98356650809622, 48.41266665490541 11.9835732270298, 48.41266973490434 11.98357299904203, 48.41266957467319 11.98356650809622)), ((48.41265911513925 11.98357230166769, 48.41265342693314 11.98357230166769, 48.41265327560371 11.98357948998785, 48.41265927537041 11.98357994596338, 48.41265911513925 11.98357230166769)), ((48.41265480670145 11.98372687737322, 48.41264958138535 11.98372710536098, 48.41264973271477 11.98373544703102, 48.41265465537202 11.98373544703102, 48.41265480670145 11.98372687737322)), ((48.41265785999518 11.9836615924058, 48.41265220739599 11.98366133759594, 48.41265220739599 11.98366951833344, 48.41265737039998 11.98366992066479, 48.41265785999518 11.9836615924058)), ((48.41265765525537 11.98363853881931, 48.41265201155791 11.9836382974205, 48.41265201155791 11.983646478158, 48.41265717456189 11.98364688048935, 48.41265765525537 11.98363853881931)), ((48.41266830172565 11.98364916036701, 48.41266002311581 11.98364835570431, 48.41266020115044 11.98366780171967, 48.41266750056986 11.98366793583012, 48.41266830172565 11.98364916036701)), ((48.4126651861198 11.9837453175602, 48.41266020115044 11.98374424467659, 48.41266011213312 11.9837366003809, 48.41266545317173 11.9837366003809, 48.4126651861198 11.9837453175602)))",unknown
35,35,4677,94,2021-06-03 16:14:13,"MULTIPOLYGON (((48.41266990403723 11.98357164452648, 48.41267675837011 11.98357151041603, 48.41267658033549 11.9835743267355, 48.41266990403723 11.98357446084595, 48.41266990403723 11.98357164452648)), ((48.41266578253578 11.98374059687233, 48.41267067848783 11.98374126742458, 48.4126701532857 11.98374609540081, 48.41266721571447 11.98374622951126, 48.41266703767985 11.98374622951126, 48.41266721571447 11.9837439496336, 48.41266533744923 11.9837439496336, 48.41266578253578 11.98374059687233)), ((48.4126678566391 11.98366283963299, 48.41267023340128 11.9836633492527, 48.41267023340128 11.98366509268856, 48.41267334900713 11.98366562913036, 48.41267334900713 11.98367018888569, 48.41267023340128 11.98367018888569, 48.41266997525108 11.98366831133938, 48.41266750056986 11.98366793583012, 48.4126678566391 11.98366283963299)), ((48.41266849756374 11.98365201691961, 48.41267295733097 11.98365156094408, 48.41267295733097 11.98365318368053, 48.41267449733044 11.98365318368053, 48.412674346001 11.98365850786543, 48.41267081201379 11.98365735451555, 48.4126700375632 11.98365456501818, 48.41266834623431 11.98365433703041, 48.41266849756374 11.98365201691961)))",shadow
36,36,4678,94,2021-06-03 16:14:13,"MULTIPOLYGON (((48.41268601617035 11.98361965606785, 48.41267444392005 11.98361804674244, 48.41267426588543 11.98363239656067, 48.41268566010112 11.98363346944427, 48.41268601617035 11.98361965606785)), ((48.4126837017203 11.98368644307232, 48.41267284160846 11.98368577252007, 48.41267221848729 11.98370307276821, 48.41268316761644 11.98370320687866, 48.4126837017203 11.98368644307232)), ((48.41261613758195 11.98355514894104, 48.41260643469515 11.98355528305149, 48.41260607862591 11.98356842587566, 48.41261595954732 11.98356815765476, 48.41261613758195 11.98355514894104)), ((48.41261489133961 11.98361630330658, 48.41260465434895 11.98361683974838, 48.4126042982797 11.9836385656414, 48.41261471330498 11.98363869975185, 48.41261489133961 11.98361630330658)), ((48.41261275492416 11.98368228564835, 48.41260394221047 11.98368228564835, 48.4126042092624 11.98370535264587, 48.41261248787223 11.98370521853542, 48.41261275492416 11.98368228564835)), ((48.41261150868182 11.98375644872761, 48.41260100463924 11.98375618050671, 48.4126007375873 11.98376892099953, 48.41261150868182 11.98376932333088, 48.41261150868182 11.98375644872761)))",window
37,37,4680,96,2021-06-03 16:14:13,"MULTIPOLYGON (((48.41262375896663 11.98404018526173, 48.41261932590128 11.98404018526173, 48.41261932590128 11.98404490594959, 48.41262338509365 11.98404546921349, 48.41262375896663 11.98404018526173)), ((48.41262615353406 11.98396148924923, 48.41262320705889 11.98396203910208, 48.41262320705889 11.98396983091927, 48.41262634047055 11.98396983091927, 48.41262615353406 11.98396148924923)), ((48.41262726625126 11.98390308414793, 48.41262375896663 11.98390336577988, 48.41262431087436 11.98391031270122, 48.41262726625126 11.98391031270122, 48.41262726625126 11.98390308414793)), ((48.41256487397201 11.98393831496334, 48.41255988899892 11.98393871729469, 48.4125599780163 11.98394944613075, 48.41256487397201 11.98394944613075, 48.41256487397201 11.98393831496334)), ((48.41261825769276 11.98401371185875, 48.4126138246274 11.98401371185875, 48.41261401156389 11.98401954566336, 48.41261825769276 11.98402037714815, 48.41261825769276 11.98401371185875)), ((48.41261858705705 11.98392561470366, 48.41261490173765 11.98392533307171, 48.41261543584191 11.98393120710945, 48.41261877399354 11.98393116687632, 48.41261858705705 11.98392561470366)), ((48.41261856035184 11.98398891483641, 48.41261348636137 11.98398891483641, 48.41261363769091 11.98399702851868, 48.41261872058311 11.98399748449421, 48.41261856035184 11.98398891483641)))",unknown
38,38,4758,127,2021-06-03 16:14:13,"MULTIPOLYGON (((48.41236458972774 11.98492399117088, 48.41234954571269 11.98492573460674, 48.41234999080189 11.98494625350571, 48.4123649457991 11.9849443759594, 48.41236458972774 11.98492399117088)))",window
39,39,4681,96,2021-06-03 16:14:13,"MULTIPOLYGON (((48.41257430981393 11.98403782491779, 48.41256220345071 11.98403661792374, 48.41256238148546 11.98405284528828, 48.4125743988313 11.98405364995098, 48.41257430981393 11.98403782491779)), ((48.41257787050899 11.9839038485775, 48.41256638726741 11.98390478735065, 48.41256656530216 11.98392195348835, 48.41257840461325 11.98392141704655, 48.41257787050899 11.9839038485775)), ((48.41257582310933 11.98396661226845, 48.41256362772874 11.98396848981476, 48.41256336067661 11.98399048392868, 48.41257528900507 11.98399102037048, 48.41257582310933 11.98396661226845)), ((48.41264952949715 11.98398029153442, 48.41263929249885 11.98398082797623, 48.41263938151622 11.98399289791679, 48.41264961851453 11.98399303202724, 48.41264952949715 11.98398029153442)))",window
40,40,4682,96,2021-06-03 16:14:13,"MULTIPOLYGON (((48.41259861155774 11.98390170281029, 48.4125839236906 11.9839030439148, 48.41258098611717 11.9840473467598, 48.41259433872366 11.98404466455078, 48.41259861155774 11.98390170281029)))",pvmodule
41,41,4683,99,2021-06-03 16:14:13,"MULTIPOLYGON (((48.41090027889508 11.99168212539673, 48.4109085666922 11.99168174988747, 48.41090918983484 11.99168966240406, 48.41090010975636 11.99169006473541, 48.41090019877674 11.99169274694443, 48.41089717208391 11.99169180817127, 48.41089681600241 11.99169489271164, 48.4108948575541 11.99169462449074, 48.41089494657449 11.99168698019504, 48.41090028779712 11.99168698019504, 48.41090027889508 11.99168212539673)))",shadow
42,42,4684,99,2021-06-03 16:14:13,"MULTIPOLYGON (((48.41093651018862 11.99170116908073, 48.41092662892675 11.9917047900629, 48.41093001170108 11.9917222244215, 48.4109408721871 11.99171793288708, 48.41093651018862 11.99170116908073)), ((48.41086395858117 11.9916778338623, 48.41086858764078 11.9916941953373, 48.41085665891023 11.99170277840614, 48.4108524749525 11.99168480760574, 48.41086395858117 11.9916778338623)), ((48.41087998224907 11.99173335558891, 48.41088443326793 11.99175065583706, 48.41087668849511 11.9917573613596, 48.41087197041512 11.99173898822784, 48.41087998224907 11.99173335558891)))",window
43,43,4685,99,2021-06-03 16:14:13,"MULTIPOLYGON (((48.4109017922415 11.99167555398464, 48.41089480414188 11.99167571491718, 48.41089475963169 11.99167823619366, 48.41089195548981 11.99167853123665, 48.41089217804075 11.99168735570431, 48.41090014536451 11.99168671197414, 48.41090036791546 11.99168199128628, 48.41090143615998 11.99168185717583, 48.4109017922415 11.99167555398464)))",chimney
