,Unnamed: 0,id,time_created,labeler_id,area,gables,gutters,roof_type,building_type,slope
10,10,51,2020-08-15 01:52:21,4,"MULTIPOLYGON (((48.4111404931796 11.98769133706934, 48.41120992868712 11.9878629984463, 48.4111663089563 11.98789384384997, 48.41112624998684 11.98793810029871, 48.41105503396324 11.98777046223528, 48.41109776358938 11.98772352357752, 48.4111404931796 11.98769133706934)))","MULTILINESTRING ((48.41109776358938 11.98772352357752, 48.4111663089563 11.98789384384997))","MULTILINESTRING ((48.4111404931796 11.98769133706934, 48.41120992868712 11.9878629984463), (48.41105503396324 11.98777046223528, 48.41112624998684 11.98793810029871))",Gabled,Residential,35.0
11,11,52,2020-08-15 01:53:18,4,"MULTIPOLYGON (((48.4111894186705 11.98762407666362, 48.4111360067285 11.98766699200786, 48.41116805390043 11.98775550490535, 48.41121968541272 11.98770990735209, 48.4111894186705 11.98762407666362)))",,,Flat,Residential,35.0
12,12,53,2020-08-15 01:55:13,4,"MULTIPOLYGON (((48.41134128207836 11.98750909131406, 48.41140715653281 11.98767404716847, 48.41136620755766 11.98770757478116, 48.41132347815709 11.98775317233441, 48.41125671339685 11.98758687537549, 48.41129588206681 11.98754127782223, 48.41134128207836 11.98750909131406)))","MULTILINESTRING ((48.41129588206681 11.98754127782223, 48.41136620755766 11.98770757478116))","MULTILINESTRING ((48.41134128207836 11.98750909131406, 48.41140715653281 11.98767404716847), (48.41125671339685 11.98758687537549, 48.41132347815709 11.98775317233441))",Gabled,Residential,35.0
13,13,54,2020-08-15 01:55:58,4,"MULTIPOLYGON (((48.41139015028293 11.98743317386605, 48.41142219729471 11.98751364013649, 48.41136700520634 11.9875686254213, 48.41132783659114 11.98748950025536, 48.41139015028293 11.98743317386605)))",,,Flat,Residential,35.0
14,14,55,2020-08-15 01:56:55,4,"MULTIPOLYGON (((48.41109667830756 11.98875237964778, 48.41117857665901 11.98895622753291, 48.41112516470564 11.98900182508617, 48.41109311750667 11.98891331218868, 48.41103970546354 11.98895890974193, 48.41099430518275 11.9888462569633, 48.41109667830756 11.98875237964778)))",,,Flat,Residential,35.0
15,15,25,2020-08-14 20:12:43,5,"MULTIPOLYGON (((48.40889096561788 11.99113994836807, 48.40892835563388 11.9913424551487, 48.40886690220419 11.99136938099537, 48.40880817334181 11.99140280485153, 48.40877164651801 11.99119369630489, 48.40882773166326 11.99115346316967, 48.40889096561788 11.99113994836807)))","MULTILINESTRING ((48.40882773166326 11.99115346316967, 48.40886690220419 11.99136938099537))","MULTILINESTRING ((48.40889096561788 11.99113994836807, 48.40892835563388 11.9913424551487), (48.40877164651801 11.99119369630489, 48.40880817334181 11.99140280485153))",Gabled,Residential,35.0
16,16,26,2020-08-14 20:42:55,4,"MULTIPOLYGON (((48.41298209678268 11.9859460605725, 48.41298654761841 11.98596617714011, 48.41299544928867 11.9859634949311, 48.41300969195782 11.98602384463393, 48.41300346079056 11.98602652684295, 48.41302927562143 11.98613247409904, 48.41297853611385 11.98615661398017, 48.41292608000694 11.98619931936264, 48.41287616677771 11.98601445690238, 48.41292957689186 11.98596885934913, 48.41298209678268 11.9859460605725)))","MULTILINESTRING ((48.41292957689186 11.98596885934913, 48.41297853611385 11.98615661398017))","MULTILINESTRING ((48.41287616677771 11.98601445690238, 48.41292608000694 11.98619931936264), (48.41300346079056 11.98602652684295, 48.41302927562143 11.98613247409904))",Gabled,Residential,35.0
17,17,27,2020-08-14 21:01:57,4,"MULTIPOLYGON (((48.41304976344822 11.98620598232974, 48.4130568847757 11.98622744000186, 48.41306311593642 11.98623012221087, 48.41307824875215 11.98628644860018, 48.41307206737601 11.98629185557365, 48.41309788217205 11.98639914393425, 48.4130462027841 11.98641921794642, 48.41299457312645 11.98646481549967, 48.41294294341635 11.98627437865962, 48.41299546329341 11.98622744000186, 48.41304976344822 11.98620598232974)))","MULTILINESTRING ((48.41299546329341 11.98622744000186, 48.4130462027841 11.98641921794642))","MULTILINESTRING ((48.41307206737601 11.98629185557365, 48.41309788217205 11.98639914393425), (48.41294294341635 11.98627437865962, 48.41299457312645 11.98646481549967))",Gabled,Residential,35.0
18,18,28,2020-08-14 21:10:26,4,"MULTIPOLYGON (((48.41305817375724 11.98684922627573, 48.41311069351526 11.98682374529008, 48.41316232305503 11.98682240418558, 48.41316766403887 11.98689214161996, 48.41317745584121 11.98688811830644, 48.41318635747806 11.98703161648874, 48.41315075092136 11.98703429869775, 48.4131124738451 11.98705039195184, 48.41310535252541 11.98699674777155, 48.41307241640886 11.98701284102563, 48.41305817375724 11.98684922627573)))","MULTILINESTRING ((48.41310535252541 11.98699674777155, 48.41312226565804 11.98698601893549, 48.4131463001 11.98698467783098), (48.41311069351526 11.98682374529008, 48.41312226565804 11.98698601893549), (48.4131463001 11.98698467783098, 48.41315075092136 11.98703429869775))","MULTILINESTRING ((48.41305817375724 11.98684922627573, 48.41307241640886 11.98701284102563), (48.41317745584121 11.98688811830644, 48.41318635747806 11.98703161648874), (48.41310535252541 11.98699674777155, 48.4131124738451 11.98705039195184))",Gabled,Residential,35.0
19,19,29,2020-08-14 21:13:42,4,"MULTIPOLYGON (((48.41255281837705 11.98632215231193, 48.41249050611008 11.98636640876068, 48.41242730358984 11.98643480509056, 48.41246914188669 11.98654477566017, 48.41249139628587 11.98652063577903, 48.41264628663433 11.98691894381775, 48.4126892947244 11.98687791824341, 48.41274687609069 11.98682506650222, 48.41255281837705 11.98632215231193)))","MULTILINESTRING ((48.41249050611008 11.98636640876068, 48.4126892947244 11.98687791824341))","MULTILINESTRING ((48.41255281837705 11.98632215231193, 48.41274687609069 11.98682506650222), (48.41242730358984 11.98643480509056, 48.41246914188669 11.98654477566017))",Gabled,Industrial,35.0
20,20,30,2020-08-14 21:17:08,4,"MULTIPOLYGON (((48.41322686241445 11.98711672118175, 48.41329540491129 11.98733129790294, 48.41324555583182 11.9873594610976, 48.41325356729432 11.98740505865085, 48.41322330176273 11.98742383411396, 48.41319570670353 11.98745199730861, 48.41311301497742 11.98719844222069, 48.41317345261259 11.98714488437641, 48.41322686241445 11.98711672118175)))","MULTILINESTRING ((48.41317345261259 11.98714488437641, 48.41324555583182 11.9873594610976), (48.41324555583182 11.9873594610976, 48.41321350996925 11.98739164760578, 48.41322330176273 11.98742383411396))","MULTILINESTRING ((48.41311301497742 11.98719844222069, 48.41319570670353 11.98745199730861), (48.41322686241445 11.98711672118175, 48.41329540491129 11.98733129790294), (48.41324555583182 11.9873594610976, 48.41325356729432 11.98740505865085))",Gabled,Residential,35.0
21,21,31,2020-08-14 21:20:03,4,"MULTIPOLYGON (((48.4130944872043 11.98756316354223, 48.41301170177201 11.98760607888647, 48.41302594443662 11.98765838196226, 48.41296096224688 11.9877012973065, 48.41298143609644 11.98777774026342, 48.41300725093851 11.98787161757894, 48.41315323807451 11.98777639915892, 48.413130983965 11.98768252184339, 48.4130944872043 11.98756316354223)))","MULTILINESTRING ((48.413130983965 11.98768252184339, 48.41298143609644 11.98777774026342))","MULTILINESTRING ((48.41315323807451 11.98777639915892, 48.41300725093851 11.98787161757894), (48.41302594443662 11.98765838196226, 48.41296096224688 11.9877012973065))",Gabled,Residential,35.0
22,22,32,2020-08-14 21:25:22,4,"MULTIPOLYGON (((48.41292406888369 11.98784169830149, 48.41294365258028 11.98791009463137, 48.41296679693924 11.98797714985674, 48.4129846002851 11.98804286397761, 48.41299083145469 11.98803884066408, 48.41300329379159 11.98807907379931, 48.41290181467387 11.98814881123369, 48.41289647366209 11.98813405908411, 48.4128653177487 11.98815551675623, 48.41284306351319 11.98806432164973, 48.41282169943792 11.98799458421534, 48.41287154893293 11.98796105660265, 48.41285374554746 11.98789131916826, 48.4128875719745 11.98786047376459, 48.41292406888369 11.98784169830149)))","MULTILINESTRING ((48.4128875719745 11.98786047376459, 48.4129234095024 11.98798298835754), (48.41294365258028 11.98791009463137, 48.4129234095024 11.98798298835754), (48.41287154893293 11.98796105660265, 48.4129234095024 11.98798298835754), (48.41296679693924 11.98797714985674, 48.41284306351319 11.98806432164973))","MULTILINESTRING ((48.41285374554746 11.98789131916826, 48.41287154893293 11.98796105660265), (48.41287154893293 11.98796105660265, 48.41282169943792 11.98799458421534), (48.41300329379159 11.98807907379931, 48.41290181467387 11.98814881123369), (48.41292406888369 11.98784169830149, 48.41294365258028 11.98791009463137))",Gabled,Residential,35.0
23,23,33,2020-08-14 21:29:21,4,"MULTIPOLYGON (((48.4127746449902 11.98810038494987, 48.41279422874432 11.98818353342933, 48.41281292232077 11.98824254202766, 48.41283072572053 11.98830691504402, 48.41283695690897 11.98830155062599, 48.41284318809664 11.98833641934318, 48.41279867959648 11.98836994695587, 48.41279333857383 11.98835921811981, 48.41270254110317 11.98840883898658, 48.41267850645145 11.98832703161163, 48.41266159317119 11.98825729417724, 48.41271322316695 11.98822644877357, 48.41269630989825 11.98815134692115, 48.41273369711628 11.98811647820396, 48.4127746449902 11.98810038494987)))","MULTILINESTRING ((48.41273369711628 11.98811647820396, 48.41276851999809 11.98825255036354), (48.41279422874432 11.98818353342933, 48.41276851999809 11.98825255036354), (48.41271322316695 11.98822644877357, 48.41276851999809 11.98825255036354), (48.41281292232077 11.98824254202766, 48.41267850645145 11.98832703161163))","MULTILINESTRING ((48.41269630989825 11.98815134692115, 48.41271322316695 11.98822644877357), (48.41271322316695 11.98822644877357, 48.41266159317119 11.98825729417724), (48.4127746449902 11.98810038494987, 48.41279422874432 11.98818353342933), (48.41279333857383 11.98835921811981, 48.41270254110317 11.98840883898658))",Gabled,Residential,35.0
24,24,34,2020-08-14 21:31:22,4,"MULTIPOLYGON (((48.41263835517902 11.98763174368492, 48.41264814708328 11.98766661240211, 48.41266328002251 11.98765722467056, 48.41268286381953 11.98773098541847, 48.41267218174936 11.9877363498365, 48.41269265571521 11.98779804064384, 48.41265081760228 11.98782486273399, 48.4126071991075 11.98786107255569, 48.41258672510722 11.98779669953933, 48.41257070197084 11.98781145168891, 48.41255111813064 11.98775646640411, 48.41256892162205 11.98774573756805, 48.41255823952796 11.98769879891029, 48.41259651702143 11.98765990687957, 48.41263835517902 11.98763174368492)))","MULTILINESTRING ((48.41259651702143 11.98765990687957, 48.41265081760228 11.98782486273399))","MULTILINESTRING ((48.41255111813064 11.98775646640411, 48.41257070197084 11.98781145168891), (48.41266328002251 11.98765722467056, 48.41268286381953 11.98773098541847))",Gabled,Residential,35.0
25,25,35,2020-08-14 21:37:19,4,"MULTIPOLYGON (((48.4123666585247 11.98884820602673, 48.41232660050089 11.98871409557599, 48.41231057728255 11.98872214220303, 48.41229633441753 11.98866447470921, 48.41235508620994 11.98861753605145, 48.41241472811161 11.98859339617032, 48.41244588430109 11.9887154366805, 48.41243787271132 11.988716777785, 48.41245389588956 11.98878919742841, 48.41240938704865 11.98881065510053, 48.4123666585247 11.98884820602673)))","MULTILINESTRING ((48.41235508620994 11.98861753605145, 48.41240938704865 11.98881065510053))","MULTILINESTRING ((48.41241472811161 11.98859339617032, 48.41244588430109 11.9887154366805), (48.41232660050089 11.98871409557599, 48.4123666585247 11.98884820602673))",Gabled,Residential,35.0
26,26,36,2020-08-14 21:39:44,4,"MULTIPOLYGON (((48.41224882835101 11.98881485765619, 48.41229244715323 11.98894092147989, 48.41228443553932 11.9889436036889, 48.41230223912412 11.98899858897371, 48.41225149889101 11.98902943437738, 48.41219541752184 11.98908173745317, 48.4121339949989 11.98890068834467, 48.41219096661688 11.98884704416437, 48.41224882835101 11.98881485765619)))","MULTILINESTRING ((48.41219096661688 11.98884704416437, 48.41225149889101 11.98902943437738))","MULTILINESTRING ((48.4121339949989 11.98890068834467, 48.41219541752184 11.98908173745317), (48.41224882835101 11.98881485765619, 48.41229244715323 11.98894092147989))",Gabled,Residential,35.0
27,27,93,2020-08-15 03:37:13,4,"MULTIPOLYGON (((48.41262254195372 11.98333207578799, 48.41284152415737 11.98335219235561, 48.41283974381805 11.98338840217731, 48.41283796347867 11.98345277519366, 48.41261719071638 11.98343396186829, 48.4126189812597 11.98337230892322, 48.41262254195372 11.98333207578799)))","MULTILINESTRING ((48.4126189812597 11.98337230892322, 48.41283974381805 11.98338840217731))","MULTILINESTRING ((48.41261719071638 11.98343396186829, 48.41283796347867 11.98345277519366), (48.41262254195372 11.98333207578799, 48.41284152415737 11.98335219235561))",Gabled,Residential,35.0
28,28,38,2020-08-14 21:46:46,4,"MULTIPOLYGON (((48.41229913970874 11.98809674694577, 48.41230982185728 11.98812625124494, 48.41232851561181 11.98817855432073, 48.41234898971604 11.98824292733708, 48.41224038785169 11.98832071139852, 48.41221991370371 11.98825499727765, 48.4122003297284 11.98820135309735, 48.41225374055244 11.98816380217115, 48.41224928965256 11.98813429787198, 48.41227510486633 11.98811149909536, 48.41229913970874 11.98809674694577)))","MULTILINESTRING ((48.41227510486633 11.98811149909536, 48.41229468881286 11.98817721321622), (48.41230982185728 11.98812625124494, 48.41229468881286 11.98817721321622), (48.41225374055244 11.98816380217115, 48.41229468881286 11.98817721321622), (48.41232851561181 11.98817855432073, 48.41221991370371 11.98825499727765))","MULTILINESTRING ((48.41224928965256 11.98813429787198, 48.41225374055244 11.98816380217115), (48.41229913970874 11.98809674694577, 48.41230982185728 11.98812625124494), (48.41225374055244 11.98816380217115, 48.4122003297284 11.98820135309735), (48.41234898971604 11.98824292733708, 48.41224038785169 11.98832071139852))",Gabled,Residential,35.0
29,29,59,2020-08-15 02:07:55,4,"MULTIPOLYGON (((48.41163824187111 11.98916460253361, 48.41150649347562 11.98927457310322, 48.41147533671054 11.98918874241474, 48.41144150934402 11.98910291172627, 48.41157122601355 11.98899686336517, 48.41160619499551 11.98907743074062, 48.41163824187111 11.98916460253361)))","MULTILINESTRING ((48.41160619499551 11.98907743074062, 48.41147533671054 11.98918874241474))","MULTILINESTRING ((48.41163824187111 11.98916460253361, 48.41150649347562 11.98927457310322), (48.41157122601355 11.98899686336517, 48.41144150934402 11.98910291172627))",Gabled,Residential,35.0
30,30,62,2020-08-15 02:17:56,4,"MULTIPOLYGON (((48.41162160220382 11.98892061074483, 48.41165542945055 11.98889110644567, 48.41165097849831 11.98887233098257, 48.41170795065747 11.98882941563833, 48.41171507217287 11.98884014447439, 48.41175156992366 11.98881198127973, 48.41178094614307 11.9888790365051, 48.41181121253322 11.9889675494026, 48.41168124496581 11.98907886107671, 48.41165097849831 11.98899034817922, 48.41162160220382 11.98892061074483)))","MULTILINESTRING ((48.41178094614307 11.9888790365051, 48.41165097849831 11.98899034817922))","MULTILINESTRING ((48.41170795065747 11.98882941563833, 48.41165097849831 11.98887233098257), (48.41181121253322 11.9889675494026, 48.41168124496581 11.98907886107671))",Gabled,Residential,35.0
31,31,63,2020-08-15 02:21:03,4,"MULTIPOLYGON (((48.41180955305337 11.98869606058945, 48.41188343857954 11.9886330286776, 48.41187542690118 11.98860218327392, 48.41189323062919 11.98857670228828, 48.41192082639527 11.98856060903419, 48.41193417917994 11.98859145443786, 48.41195821418349 11.98865314524521, 48.4120000528663 11.98877250354637, 48.41193239880886 11.98883017104019, 48.41191548528041 11.98878591459144, 48.41185762316695 11.9888315121447, 48.41183180774124 11.98875506918777, 48.41180955305337 11.98869606058945)))","MULTILINESTRING ((48.41195821418349 11.98865314524521, 48.41183180774124 11.98875506918777), (48.41193417917994 11.98859145443786, 48.41192260676677 11.98864375751366), (48.41188343857954 11.9886330286776, 48.41192260676677 11.98864375751366), (48.41189323062919 11.98857670228828, 48.41192260676677 11.98864375751366))","MULTILINESTRING ((48.41192082639527 11.98856060903419, 48.41193417917994 11.98859145443786), (48.41188343857954 11.9886330286776, 48.41180955305337 11.98869606058945), (48.4120000528663 11.98877250354637, 48.41193239880886 11.98883017104019))",Gabled,Residential,35.0
32,32,66,2020-08-15 02:28:52,4,"MULTIPOLYGON (((48.40895509172407 11.98441445391764, 48.40884737285069 11.9844265238582, 48.40885716548497 11.98456465762247, 48.40896666481262 11.98454722326387, 48.40895509172407 11.98441445391764)))",,,Flat,Unknown,35.0
33,33,67,2020-08-15 02:29:34,4,"MULTIPOLYGON (((48.40891558667347 11.98484987344723, 48.40896900094771 11.98508322563153, 48.40874733134284 11.98519721951466, 48.40869035586661 11.98496789064389, 48.40891558667347 11.98484987344723)))",,,Flat,Commercial,35.0
34,34,68,2020-08-15 02:31:54,4,"MULTIPOLYGON (((48.40849727496649 11.9854590825609, 48.40850528717713 11.98551675005472, 48.40852220183983 11.98559453411616, 48.40834237197969 11.98566427155054, 48.40833703048896 11.9856562249235, 48.40830320103472 11.9856750003866, 48.40828094480256 11.98555430098093, 48.40831477427161 11.98553954883135, 48.40831833526704 11.9855301610998, 48.40849727496649 11.9854590825609)))","MULTILINESTRING ((48.40831477427161 11.98553954883135, 48.40832812800321 11.9855838052801), (48.40832812800321 11.9855838052801, 48.40833703048896 11.9856562249235), (48.40850528717713 11.98551675005472, 48.40832812800321 11.9855838052801))","MULTILINESTRING ((48.40828094480256 11.98555430098093, 48.40830320103472 11.9856750003866), (48.40852220183983 11.98559453411616, 48.40834237197969 11.98566427155054), (48.40849727496649 11.9854590825609, 48.40831833526704 11.9855301610998))",Gabled,Unknown,35.0
35,35,69,2020-08-15 02:33:48,4,"MULTIPOLYGON (((48.40852641300036 11.98513147393368, 48.40856202279527 11.98528972426556, 48.40825488749415 11.985460044538, 48.4082183872336 11.9852977708926, 48.40833055868257 11.98524144450329, 48.40832904382446 11.98523372411728, 48.40852641300036 11.98513147393368)))",,,Flat,Commercial,35.0
36,36,70,2020-08-15 02:35:34,4,"MULTIPOLYGON (((48.40851035696431 11.98595100818154, 48.40851747892755 11.98624739227769, 48.40845516171549 11.98623532233712, 48.40839106393199 11.98625946221826, 48.40838127120796 11.98595905480859, 48.40844536900381 11.98593759713647, 48.40851035696431 11.98595100818154)))","MULTILINESTRING ((48.40844536900381 11.98593759713647, 48.40845516171549 11.98623532233712))","MULTILINESTRING ((48.40838127120796 11.98595905480859, 48.40839106393199 11.98625946221826), (48.40851035696431 11.98595100818154, 48.40851747892755 11.98624739227769))",Gabled,Residential,35.0
37,37,71,2020-08-15 02:36:25,4,"MULTIPOLYGON (((48.40848126609733 11.98626226808168, 48.4084848270811 11.98640710736848, 48.40843319279197 11.98639637853242, 48.4083860096888 11.98640710736848, 48.40838155845039 11.98626495029069, 48.40842874155768 11.98625422145463, 48.40848126609733 11.98626226808168)))","MULTILINESTRING ((48.40842874155768 11.98625422145463, 48.40843319279197 11.98639637853242))","MULTILINESTRING ((48.40848126609733 11.98626226808168, 48.4084848270811 11.98640710736848), (48.40838155845039 11.98626495029069, 48.4083860096888 11.98640710736848))",Gabled,Residential,35.0
38,38,73,2020-08-15 02:38:01,4,"MULTIPOLYGON (((48.40836838893011 11.9864112901514, 48.4084244745201 11.98639922021083, 48.4084894625073 11.98640592573337, 48.40849124299896 11.9865909981554, 48.4084307062485 11.98657892821483, 48.40837284016967 11.98660038588695, 48.40836838893011 11.9864112901514)))","MULTILINESTRING ((48.4084244745201 11.98639922021083, 48.4084307062485 11.98657892821483))","MULTILINESTRING ((48.4084894625073 11.98640592573337, 48.40849124299896 11.9865909981554), (48.40836838893011 11.9864112901514, 48.40837284016967 11.98660038588695))",Gabled,Residential,35.0
