,Unnamed: 0,id,time_created,labeler_id,area,gables,gutters,roof_type,building_type,slope,image_centroid
10,10,15,2021-03-06 17:14:00,8,"MULTIPOLYGON (((48.39684370590337 11.99793267066765, 48.39685982304568 11.99798604662704, 48.39683310955014 11.99803030307579, 48.39680461515491 11.9979605656414, 48.39684370590337 11.99793267066765)))",,,Flat,Residential,0.0,POINT (48.396834 11.997978)
11,11,16,2021-03-06 17:14:00,8,"MULTIPOLYGON (((48.39686160225065 11.99798836747646, 48.39687389044916 11.99797026256561, 48.39691039886507 11.99806682209015, 48.39686854775416 11.99810437301636, 48.39685964326247 11.99808559755325, 48.39686587640665 11.9980762098217, 48.39683649158409 11.99803061226845, 48.39686160225065 11.99798836747646)))",,,Flat,Residential,0.0,POINT (48.396873 11.99804)
12,12,17,2021-03-06 17:14:00,8,"MULTIPOLYGON (((48.39689797192788 11.99823870304108, 48.39701640157185 11.99846534970284, 48.39697366004621 11.9985122883606, 48.39693002807212 11.99857263806343, 48.39681159842816 11.99834062698364, 48.3968561208507 11.99828698280334, 48.39689797192788 11.99823870304108)))","MULTILINESTRING ((48.3968561208507 11.99828698280334, 48.39697366004621 11.9985122883606))","MULTILINESTRING ((48.39681159842816 11.99834062698364, 48.39693002807212 11.99857263806343), (48.39689797192788 11.99823870304108, 48.39701640157185 11.99846534970284))",Gabled,Residential,35.0,POINT (48.396914 11.998405)
13,13,18,2021-07-28 11:58:00,8,"MULTIPOLYGON (((48.39701099149772 11.99829389203072, 48.39702523867993 11.99832876074791, 48.39701455329327 11.99834083068848, 48.39700564880438 11.99835155952454, 48.39698962072439 11.99832071412087, 48.39700030611105 11.99830730307579, 48.39701099149772 11.99829389203072)))","MULTILINESTRING ((48.39700030611105 11.99830730307579, 48.39701455329327 11.99834083068848))","MULTILINESTRING ((48.39701099149772 11.99829389203072, 48.39702523867993 11.99832876074791), (48.39698962072439 11.99832071412087, 48.39700564880438 11.99835155952454))",Gabled,Residential,35.0,POINT (48.396889 11.998255)
14,14,19,2021-07-28 11:58:00,8,"MULTIPOLYGON (((48.39700005611021 11.99728377298164, 48.39703300266792 11.99732534722138, 48.39706505877813 11.99737228587914, 48.39693327254728 11.99759088591385, 48.39690032598957 11.99754394725609, 48.39686648898435 11.99750371412087, 48.39700005611021 11.99728377298164)))","MULTILINESTRING ((48.39703300266792 11.99732534722138, 48.39690032598957 11.99754394725609))","MULTILINESTRING ((48.39706505877813 11.99737228587914, 48.39693327254728 11.99759088591385), (48.39700005611021 11.99728377298164, 48.39686648898435 11.99750371412087))",Gabled,Residential,35.0,POINT (48.396968 11.997438)
15,15,20,2021-03-06 17:14:00,8,"MULTIPOLYGON (((48.3969688343569 11.99726397668648, 48.39699109553055 11.99722240244675, 48.39703205609004 11.99728275214958, 48.39701780893891 11.99730689203072, 48.39700267134084 11.9972867754631, 48.39699376687138 11.99729616319466, 48.3969688343569 11.99726397668648)))",,,Flat,Residential,0.0,POINT (48.397 11.997268)
16,16,21,2021-03-06 17:14:00,8,"MULTIPOLYGON (((48.39701841018183 11.99730604662705, 48.39703176687604 11.99728190674591, 48.39702553375208 11.99727386011887, 48.39703230114381 11.99726044907379, 48.39705758981817 11.997298, 48.397038 11.99733018650818, 48.39701841018183 11.99730604662705)))",,,Flat,Residential,0.0,POINT (48.397038 11.997298)
17,17,22,2021-07-28 11:58:00,8,"MULTIPOLYGON (((48.39674438491382 11.99688939996529, 48.39678801705858 11.99693633862305, 48.39683253965527 11.99699802943039, 48.39682185423207 11.99702082820702, 48.39687439089616 11.99707715459633, 48.39685480095361 11.99711068220902, 48.396836101463 11.99714689203072, 48.39678801705858 11.99709324785042, 48.3967675366641 11.99712141104508, 48.39672212361547 11.99706240244675, 48.39671321909614 11.99705837913323, 48.39674616581769 11.99710397668648, 48.39671678090387 11.99715762086678, 48.39673280903867 11.9971790785389, 48.39671054774033 11.99722199388313, 48.3967648653083 11.99728502579498, 48.39674616581769 11.99731453009415, 48.39672835677901 11.99735208102036, 48.39668027237458 11.99729977794457, 48.39666602514364 11.99731050678063, 48.39662239299888 11.99725015707779, 48.39657787040219 11.99720455952454, 48.39663218797016 11.99710531779099, 48.39664732565303 11.99711336441803, 48.39660280305633 11.99706776686478, 48.39665890152817 11.99695779629517, 48.39669184824972 11.99699266501236, 48.39674438491382 11.99688939996529)))","MULTILINESTRING ((48.39674616581769 11.99731453009415, 48.39667760101878 11.99723138161469), (48.39667760101878 11.99723138161469, 48.39671054774033 11.99722199388313), (48.39667760101878 11.99723138161469, 48.39668027237458 11.99729977794457), (48.39668917689392 11.99712677546311, 48.39662239299888 11.99725015707779), (48.39678623615471 11.99702619262505, 48.39682185423207 11.99702082820702), (48.39678801705858 11.99693633862305, 48.39672212361547 11.99706240244675), (48.39670342412486 11.99700473495293, 48.39664732565303 11.99711336441803), (48.39669184824972 11.99699266501236, 48.39670342412486 11.99700473495293), (48.396715 11.99701546378899, 48.39670253367293 11.99704496808815), (48.39670253367293 11.99704496808815, 48.39671321909614 11.99705837913323), (48.39685480095361 11.99711068220902, 48.39678623615471 11.99702619262505), (48.3966678060475 11.99709995337296, 48.3966544492685 11.9971254343586), (48.39664732565303 11.99711336441803, 48.3966544492685 11.9971254343586), (48.39668917689392 11.99712677546311, 48.3966678060475 11.99709995337296), (48.39670342412486 11.99700473495293, 48.396715 11.99701546378899), (48.39668917689392 11.99712677546311, 48.39671678090387 11.99715762086678), (48.39678623615471 11.99702619262505, 48.39678801705858 11.99709324785042))","MULTILINESTRING ((48.39665890152817 11.99695779629517, 48.39660280305633 11.99706776686478), (48.39682185423207 11.99702082820702, 48.39687439089616 11.99707715459633), (48.39663218797016 11.99710531779099, 48.39657787040219 11.99720455952454), (48.39668027237458 11.99729977794457, 48.39672835677901 11.99735208102036), (48.39671054774033 11.99722199388313, 48.3967648653083 11.99728502579498), (48.39673280903867 11.9971790785389, 48.39671054774033 11.99722199388313), (48.39674616581769 11.99710397668648, 48.39671678090387 11.99715762086678), (48.39674438491382 11.99688939996529, 48.39669184824972 11.99699266501236), (48.39683253965527 11.99699802943039, 48.39682185423207 11.99702082820702), (48.39678801705858 11.99709324785042, 48.396836101463 11.99714689203072))",Gabled,Residential,35.0,POINT (48.396715 11.997108)
18,18,23,2021-07-28 11:58:00,8,"MULTIPOLYGON (((48.39692779493219 11.99671325396728, 48.39695896062552 11.99677360367012, 48.39699101676723 11.99684870552254, 48.39697320779961 11.99687016319466, 48.39698122183504 11.99688625644874, 48.39692779493219 11.99695867609215, 48.3969135477581 11.996931854002, 48.39689751968724 11.99695465277862, 48.39686546354553 11.9968782098217, 48.3968342978522 11.99682590674591, 48.39692779493219 11.99671325396728)))","MULTILINESTRING ((48.39695896062552 11.99677360367012, 48.39686546354553 11.9968782098217))","MULTILINESTRING ((48.39692779493219 11.99671325396728, 48.3968342978522 11.99682590674591), (48.39698122183504 11.99688625644874, 48.39692779493219 11.99695867609215))",Gabled,Residential,35.0,POINT (48.396918 11.996842)
19,19,24,2021-07-28 11:58:00,8,"MULTIPOLYGON (((48.39695406747524 11.99669682820702, 48.39693002539778 11.99671828587914, 48.39698345223657 11.99683093865776, 48.39700215163015 11.99686983068848, 48.39702530326029 11.99684703191185, 48.39700838476134 11.99680679877663, 48.39695406747524 11.99669682820702)))","MULTILINESTRING ((48.39700838476134 11.99680679877663, 48.39698345223657 11.99683093865776))","MULTILINESTRING ((48.39695406747524 11.99669682820702, 48.39693002539778 11.99671828587914), (48.39702530326029 11.99684703191185, 48.39700215163015 11.99686983068848))",Gabled,Residential,35.0,POINT (48.396979 11.996784)
20,20,25,2021-03-06 17:14:00,8,"MULTIPOLYGON (((48.40889084125826 11.9911399361763, 48.40892823131883 11.99134244295692, 48.40886680479075 11.99136926504707, 48.40880804898127 11.99140279265976, 48.40877154916024 11.9911935803566, 48.4088276342511 11.99115334722137, 48.40889084125826 11.9911399361763)))","MULTILINESTRING ((48.4088276342511 11.99115334722137, 48.40886680479075 11.99136926504707))","MULTILINESTRING ((48.40877154916024 11.9911935803566, 48.40880804898127 11.99140279265976), (48.40889084125826 11.9911399361763, 48.40892823131883 11.99134244295692))",Gabled,Residential,35.0,POINT (48.408849 11.991266)
21,21,26,2021-03-06 17:14:00,8,"MULTIPOLYGON (((48.41298148536612 11.98594495948982, 48.41298593620457 11.98596507605743, 48.41299483788148 11.98596239384842, 48.41300908056454 11.98602274355125, 48.41300284939071 11.98602542576027, 48.41302866425374 11.98613137301636, 48.41297792469535 11.98615551289749, 48.41292540480158 11.98619842824173, 48.41287555541088 11.9860133558197, 48.41292896547234 11.98596775826645, 48.41298148536612 11.98594495948982)))","MULTILINESTRING ((48.41292896547234 11.98596775826645, 48.41297792469535 11.98615551289749))","MULTILINESTRING ((48.41300284939071 11.98602542576027, 48.41302866425374 11.98613137301636), (48.41287555541088 11.9860133558197, 48.41292540480158 11.98619842824173))",Gabled,Residential,35.0,POINT (48.412953 11.986067)
22,22,27,2021-03-06 17:14:00,8,"MULTIPOLYGON (((48.41304948532802 11.98620595948982, 48.41305660666003 11.98622741716194, 48.41306283782553 11.98623009937096, 48.41307797065604 11.98628642576027, 48.41307173949053 11.9862917901783, 48.41309755431905 11.98639907853889, 48.41304592466201 11.98641919510651, 48.41299429500499 11.98646479265976, 48.41294266534795 11.9862743558197, 48.41299518517148 11.98622741716194, 48.41304948532802 11.98620595948982)))","MULTILINESTRING ((48.41299518517148 11.98622741716194, 48.41304592466201 11.98641919510651))","MULTILINESTRING ((48.41294266534795 11.9862743558197, 48.41299429500499 11.98646479265976), (48.41307173949053 11.9862917901783, 48.41309755431905 11.98639907853889))",Gabled,Residential,35.0,POINT (48.413021 11.986328)
23,23,28,2021-07-28 11:58:00,8,"MULTIPOLYGON (((48.4130581278124 11.98684685152054, 48.41310886720015 11.98682405274391, 48.4131613869173 11.9868213705349, 48.41316761807018 11.98689244907379, 48.41317740988185 11.98689244907379, 48.41318631152882 11.98703058283806, 48.41315070494093 11.98703192394257, 48.41311153769424 11.98704935830116, 48.41310530654136 11.98699437301636, 48.41307148028286 11.98701046627045, 48.4130581278124 11.98684685152054)))","MULTILINESTRING ((48.41314625411744 11.9869836441803, 48.41315070494093 11.98703192394257), (48.41310886720015 11.98682405274391, 48.4131231098353 11.98698632638931), (48.41310530654136 11.98699437301636, 48.4131231098353 11.98698632638931), (48.4131231098353 11.98698632638931, 48.41314625411744 11.9869836441803))","MULTILINESTRING ((48.41318631152882 11.98703058283806, 48.41317740988185 11.98689244907379), (48.4130581278124 11.98684685152054, 48.41307148028286 11.98701046627045), (48.41310530654136 11.98699437301636, 48.41311153769424 11.98704935830116))",Gabled,Residential,35.0,POINT (48.413124 11.98693)
24,24,29,2021-07-28 11:58:00,8,"MULTIPOLYGON (((48.41255183234274 11.98631998032188, 48.41249130050879 11.98636691897964, 48.41242809815276 11.98643665641403, 48.41246993633211 11.98654528587914, 48.41249130050879 11.98652248710251, 48.41264619078977 11.98691811293221, 48.41268802896912 11.98687519758797, 48.41274856080307 11.98682289451218, 48.41255183234274 11.98631998032188)))","MULTILINESTRING ((48.41264619078977 11.98691811293221, 48.41249130050879 11.98652248710251), (48.41249130050879 11.98636691897964, 48.41268802896912 11.98687519758797))","MULTILINESTRING ((48.41255183234274 11.98631998032188, 48.41274856080307 11.98682289451218))",Gabled,Industrial,35.0,POINT (48.412591 11.986611)
25,25,30,2021-07-28 11:58:00,8,"MULTIPOLYGON (((48.41324247587406 11.98736774320507, 48.4132521786538 11.98740274603271, 48.4132219131023 11.98742286260033, 48.41319431804065 11.98745236689949, 48.41316405248915 11.98736519510651, 48.41316583281571 11.987363854002, 48.41314713938684 11.9873102098217, 48.4131533705298 11.98730484540367, 48.41311776399862 11.98719219262505, 48.41317276718765 11.98714360440874, 48.4132263639187 11.98711574966812, 48.41329401632793 11.9873289852848, 48.41324690888719 11.98736389423513, 48.41324247587406 11.98736774320507)))","MULTILINESTRING ((48.41324247587406 11.98736774320507, 48.41321416868178 11.98739456529522, 48.4132219131023 11.98742286260033), (48.41317276718765 11.98714360440874, 48.41324690888719 11.98736389423513))","MULTILINESTRING ((48.41324247587406 11.98736774320507, 48.4132521786538 11.98740274603271), (48.4132263639187 11.98711574966812, 48.41329401632793 11.9873289852848), (48.41316405248915 11.98736519510651, 48.41319431804065 11.98745236689949))",Gabled,Residential,35.0,POINT (48.413205 11.987274)
26,26,31,2021-07-28 11:58:00,8,"MULTIPOLYGON (((48.41309271646826 11.98756140856361, 48.4130108212098 11.98760566501236, 48.41302595402929 11.98766065029717, 48.41296097192204 11.9877035656414, 48.41297966540495 11.98777598528481, 48.41300726054639 11.98786986260033, 48.41315146741455 11.98777598528481, 48.41312921326823 11.98768076686478, 48.41309271646826 11.98756140856361)))","MULTILINESTRING ((48.41312921326823 11.98768076686478, 48.41297966540495 11.98777598528481))","MULTILINESTRING ((48.41309271646826 11.98756140856361, 48.4130108212098 11.98760566501236), (48.41315146741455 11.98777598528481, 48.41300726054639 11.98786986260033))",Gabled,Residential,35.0,POINT (48.413058 11.987721)
27,27,32,2021-07-28 11:58:00,8,"MULTIPOLYGON (((48.41292402303262 11.98783933862305, 48.41294360673916 11.98790773495293, 48.41296675111961 11.98797613128281, 48.41298455448919 11.98804050429916, 48.41298989550006 11.98803782209015, 48.41300235785877 11.98807671412087, 48.41290176882065 11.98814779265976, 48.41289642780978 11.98812767609215, 48.41286527191301 11.98815181597328, 48.41284301770104 11.98806330307579, 48.41282165365755 11.9879922245369, 48.41287150309237 11.98796003802872, 48.41285369972279 11.98789030059433, 48.41288663595651 11.98785945519066, 48.41292402303262 11.98783933862305)))","MULTILINESTRING ((48.41294360673916 11.98790773495293, 48.41292224269566 11.98798149570084), (48.41287150309237 11.98796003802872, 48.41292224269566 11.98798149570084), (48.41296675111961 11.98797613128281, 48.41284301770104 11.98806330307579), (48.41288663595651 11.98785945519066, 48.41292224269566 11.98798149570084))","MULTILINESTRING ((48.41285369972279 11.98789030059433, 48.41287150309237 11.98796003802872), (48.41292402303262 11.98783933862305, 48.41294360673916 11.98790773495293), (48.41300235785877 11.98807671412087, 48.41290176882065 11.98814779265976), (48.41287150309237 11.98796003802872, 48.41282165365755 11.9879922245369))",Gabled,Residential,35.0,POINT (48.412908 11.988011)
28,28,33,2021-07-28 11:58:00,8,"MULTIPOLYGON (((48.41277392479535 11.98809870304108, 48.41279350856313 11.98818319262505, 48.41281220215964 11.98824086011887, 48.41282911541363 11.98830523313522, 48.41283623678373 11.98829986871719, 48.4128415778113 11.98833473743439, 48.41279795941944 11.98836826504707, 48.4127917282206 11.98835753621101, 48.41270093075182 11.9884084981823, 48.41267689612773 11.98832534970284, 48.41266087304501 11.98825695337296, 48.41271161280697 11.98822476686478, 48.41269469955299 11.98815100611687, 48.41273208674601 11.98811479629517, 48.41277392479535 11.98809870304108)))","MULTILINESTRING ((48.41273208674601 11.98811479629517, 48.41276947393904 11.98825158895493), (48.41267689612773 11.98832534970284, 48.41281220215964 11.98824086011887), (48.41271161280697 11.98822476686478, 48.41276947393904 11.98825158895493), (48.41279350856313 11.98818319262505, 48.41276947393904 11.98825158895493))","MULTILINESTRING ((48.41266087304501 11.98825695337296, 48.41271161280697 11.98822476686478), (48.41270093075182 11.9884084981823, 48.4127917282206 11.98835753621101), (48.41277392479535 11.98809870304108, 48.41279350856313 11.98818319262505), (48.41271161280697 11.98822476686478, 48.41269469955299 11.98815100611687))",Gabled,Residential,35.0,POINT (48.412749 11.988265)
29,29,34,2021-07-28 11:58:00,8,"MULTIPOLYGON (((48.41263802312275 11.98763100611687, 48.41264781503109 11.98766453372955, 48.41266294798035 11.98765648710251, 48.41268164162356 11.98773024785042, 48.41267184971521 11.98773561226845, 48.41269232370539 11.98779730307579, 48.41264959537806 11.98782412516594, 48.41260686705074 11.98786033498764, 48.41258550288708 11.98779462086678, 48.41257036993782 11.98781071412087, 48.41255078612113 11.98775572883606, 48.41256858959085 11.987745, 48.41255701733553 11.98769806134224, 48.41259529479542 11.98765782820702, 48.41263802312275 11.98763100611687)))","MULTILINESTRING ((48.41259529479542 11.98765782820702, 48.41264959537806 11.98782412516594))","MULTILINESTRING ((48.41267184971521 11.98773561226845, 48.41269232370539 11.98779730307579), (48.41258550288708 11.98779462086678, 48.41260686705074 11.98786033498764))",Gabled,Residential,35.0,POINT (48.412622 11.987745)
30,30,35,2021-03-06 17:14:00,8,"MULTIPOLYGON (((48.41236597680162 11.98884711045075, 48.41232591880568 11.988713, 48.41231354533583 11.98872667926598, 48.41229778919076 11.9886670001154, 48.41235440449169 11.98861644047546, 48.41241351229014 11.98859350758839, 48.41244831823772 11.98871903497028, 48.41243950547862 11.98872158306885, 48.41245739805014 11.98878810185242, 48.41240870533063 11.98880955952454, 48.41236597680162 11.98884711045075)))","MULTILINESTRING ((48.41235440449169 11.98861644047546, 48.41240870533063 11.98880955952454))","MULTILINESTRING ((48.41232591880568 11.988713, 48.41236597680162 11.98884711045075), (48.41241351229014 11.98859350758839, 48.41244831823772 11.98871903497028))",Gabled,Residential,35.0,POINT (48.412382 11.988713)
31,31,36,2021-03-06 17:14:00,8,"MULTIPOLYGON (((48.41224837595786 11.98881425396729, 48.41229199480438 11.98894031779099, 48.41228398317951 11.988943, 48.41230178679033 11.98899798528481, 48.41225104649948 11.98902883068848, 48.41219496512539 11.98908113376427, 48.41213354266804 11.98890008465576, 48.41219051422269 11.98884644047546, 48.41224837595786 11.98881425396729)))","MULTILINESTRING ((48.41219051422269 11.98884644047546, 48.41225104649948 11.98902883068848))","MULTILINESTRING ((48.41224837595786 11.98881425396729, 48.41229199480438 11.98894031779099), (48.41213354266804 11.98890008465576, 48.41219496512539 11.98908113376427))",Gabled,Residential,35.0,POINT (48.412219 11.988943)
32,32,37,2021-07-28 11:58:00,8,"MULTIPOLYGON (((48.41204735777237 11.98750339996529, 48.41208118470745 11.98747657787514, 48.41213014474505 11.9876133705349, 48.4121550698551 11.98766701471519, 48.41218177533016 11.98775016319466, 48.41223073536777 11.98786415707779, 48.41219156733769 11.98788963806343, 48.41215774040261 11.98793523561668, 48.412107 11.98781855952454, 48.41205714977989 11.98786952149582, 48.41202866393983 11.98779173743439, 48.41200017809977 11.98774345767212, 48.41206338105741 11.98767640244675, 48.4120153112023 11.98753290426445, 48.41204735777237 11.98750339996529)))","MULTILINESTRING ((48.4121061098175 11.98766969692421, 48.41206338105741 11.98767640244675), (48.41213014474505 11.9876133705349, 48.4121061098175 11.98766969692421), (48.41204735777237 11.98750339996529, 48.4121061098175 11.98766969692421), (48.4121550698551 11.98766701471519, 48.41202866393983 11.98779173743439), (48.41212124292003 11.98771663558197, 48.41219156733769 11.98788963806343), (48.41212124292003 11.98771663558197, 48.41218177533016 11.98775016319466), (48.41212124292003 11.98771663558197, 48.412107 11.98781855952454))","MULTILINESTRING ((48.41218177533016 11.98775016319466, 48.41223073536777 11.98786415707779), (48.412107 11.98781855952454, 48.41215774040261 11.98793523561668), (48.412107 11.98781855952454, 48.41205714977989 11.98786952149582), (48.4120153112023 11.98753290426445, 48.41206338105741 11.98767640244675), (48.41206338105741 11.98767640244675, 48.41200017809977 11.98774345767212), (48.41208118470745 11.98747657787514, 48.41213014474505 11.9876133705349))",Gabled,Residential,35.0,POINT (48.412107 11.987722)
