,Unnamed: 0,id,pv_area_id,obstacle,type,geometry,Labeler,haus
10,11,13,7,"MULTIPOLYGON (((48.39873627849653 11.99599176413878, 48.39876388140225 11.99596360094412, 48.39877189514627 11.99598103530272, 48.39874607307767 11.99600785739287, 48.39873627849653 11.99599176413878)), ((48.39875319640826 11.99602395064696, 48.39877901847324 11.99599712855681, 48.3987888130462 11.99601724512442, 48.39876210057009 11.99604272611006, 48.39875319640826 11.99602395064696)), ((48.3987736759781 11.99617415435179, 48.39878347055209 11.99616208441122, 48.39879326512414 11.99618220097883, 48.39878258013633 11.99619292981489, 48.3987736759781 11.99617415435179)))",pvmodule,"MULTIPOLYGON (((4499810.70984333 5362322.832939805, 4499808.624534985 5362325.902426186, 4499809.91556331 5362326.793483051, 4499811.901573835 5362323.922027418, 4499810.70984333 5362322.832939805)), ((4499813.093290914 5362324.714076973, 4499811.107280063 5362327.585531789, 4499812.596929868 5362328.674605546, 4499814.48362995 5362325.704143421, 4499813.093290914 5362324.714076973)), ((4499824.215754287 5362326.990894069, 4499823.322038486 5362328.080070638, 4499824.811685815 5362329.1691475, 4499825.606090825 5362327.980962842, 4499824.215754287 5362326.990894069)))",1,2.0
11,12,14,7,"MULTIPOLYGON (((48.39869264806658 11.99598371751173, 48.39870956599284 11.99596762425764, 48.39871847016227 11.99598505861624, 48.39871668932852 11.99601188070639, 48.39870422349041 11.99600651628836, 48.39869264806658 11.99598371751173)), ((48.3987157989116 11.99596225983961, 48.39872915516357 11.99594750769003, 48.39873894974611 11.99596762425764, 48.39873538807993 11.99599042303427, 48.39872559349671 11.99598908192976, 48.3987157989116 11.99596225983961)), ((48.39876699785842 11.99610039360388, 48.39879103908522 11.99607893593176, 48.39881686113097 11.99613392121657, 48.3987919295008 11.99615671999319, 48.39876699785842 11.99610039360388)))",dormer,"MULTIPOLYGON (((4499810.113787604 5362317.98133984, 4499808.922187375 5362319.862635943, 4499810.213221401 5362320.852706593, 4499812.199351292 5362320.654593672, 4499811.80206273 5362319.268432051, 4499810.113787604 5362317.98133984)), ((4499808.52499041 5362320.55574308, 4499807.432680463 5362322.040983237, 4499808.922332429 5362323.130057086, 4499810.610532071 5362322.733931437, 4499810.511177128 5362321.644795571, 4499808.52499041 5362320.55574308)), ((4499818.753847454 5362326.248529404, 4499817.165052907 5362328.92193913, 4499821.236752421 5362331.793131386, 4499822.924850714 5362329.020707352, 4499818.753847454 5362326.248529404)))",1,2.0
12,13,15,7,"MULTIPOLYGON (((48.39871757974541 11.99602395064696, 48.39872292224644 11.99601858622893, 48.39872737433019 11.99602931506499, 48.39872292224644 11.99603333837851, 48.39871757974541 11.99602395064696)))",chimney,"MULTIPOLYGON (((4499813.093118003 5362320.753567354, 4499812.69591626 5362321.34766133, 4499813.490393197 5362321.842690446, 4499813.788292377 5362321.347613666, 4499813.093118003 5362320.753567354)))",1,2.0
13,14,16,7,"MULTIPOLYGON (((48.39873317226209 11.99595585465431, 48.39873672370479 11.99595018989905, 48.39873939495438 11.99596628315314, 48.39873317226209 11.99595585465431)), ((48.39872514828836 11.99601992733343, 48.39873138120522 11.99602126843794, 48.39873049078858 11.996031997274, 48.39872514828836 11.99603333837851, 48.39872693934544 11.99602961540222, 48.39872514828836 11.99601992733343)), ((48.39881730633856 11.99613392121657, 48.39882175841404 11.99613526232107, 48.39882621048914 11.99614330894812, 48.39879860761723 11.99615269667967, 48.39881730633856 11.99613392121657)), ((48.39879326512414 11.99608295924528, 48.39879771720177 11.99608295924528, 48.39882176863764 11.99613556265831, 48.39881730633856 11.99613392121657, 48.39879326512414 11.99608295924528)))",shadow,"MULTIPOLYGON (((4499808.050781359 5362322.487649886, 4499807.631331833 5362322.882582705, 4499808.823027739 5362323.179567863, 4499808.050781359 5362322.487649886)), ((4499812.795233999 5362321.595188892, 4499812.894571198 5362322.288273832, 4499813.689022113 5362322.189226427, 4499813.788303154 5362321.595145571, 4499813.512630641 5362321.794319945, 4499812.795233999 5362321.595188892)), ((4499821.236754511 5362331.842637681, 4499821.336082142 5362332.337696378, 4499821.93194335 5362332.83273411, 4499822.626961531 5362329.763314537, 4499821.236754511 5362331.842637681)), ((4499817.462983884 5362329.16945792, 4499817.463005117 5362329.664521045, 4499821.3583217 5362332.338832284, 4499821.236754511 5362331.842637681, 4499817.462983884 5362329.16945792)))",1,2.0
14,15,17,8,"MULTIPOLYGON (((48.39982518348366 11.99345454447001, 48.39983230666314 11.99345320336551, 48.39983230666314 11.99344649784297, 48.3998367586498 11.99344783894748, 48.39983764904708 11.99346259109706, 48.39983408745784 11.99346393220157, 48.39983319706049 11.99345856778354, 48.39982518348366 11.99345990888804, 48.39982518348366 11.99345454447001)), ((48.39985901857729 11.99348673097819, 48.39986792254554 11.99348673097819, 48.399868218173 11.99349761009216, 48.39985990897418 11.99349611870974, 48.39985901857729 11.99348673097819)))",unknown,"MULTIPOLYGON (((4499622.841659037 5362443.928643044, 4499622.742415422 5362444.720735764, 4499622.245891619 5362444.720774124, 4499622.345234639 5362445.215819547, 4499623.437594541 5362445.314745848, 4499623.536868767 5362444.918695724, 4499623.139642102 5362444.819715727, 4499623.238878135 5362443.928612396, 4499622.841659037 5362443.928643044)), ((4499625.225262478 5362447.690862576, 4499625.225338493 5362448.680968219, 4499626.030906161 5362448.713779684, 4499625.920403026 5362447.789819823, 4499625.225262478 5362447.690862576)))",1,3.0
15,16,18,8,"MULTIPOLYGON (((48.39982429308616 11.99349745981425, 48.39983408745784 11.99349611870974, 48.39983497785518 11.99350416533679, 48.39982547911139 11.99350565671921, 48.39982518348366 11.9935055064413, 48.39982429308616 11.99349745981425)), ((48.39978778677507 11.99341162912578, 48.3997975811538 11.99341028802127, 48.3997975811538 11.99342101685733, 48.39978897280117 11.99342250823975, 48.39978778677507 11.99341162912578)))",window,"MULTIPOLYGON (((4499626.019404228 5362443.829387993, 4499625.920182935 5362444.918512537, 4499626.516019056 5362445.017477516, 4499626.626370606 5362443.961225432, 4499626.615240461 5362443.928352999, 4499626.019404228 5362443.829387993)), ((4499619.66358292 5362439.770440928, 4499619.564362776 5362440.859566358, 4499620.3588014 5362440.859504629, 4499620.469159571 5362439.902262366, 4499619.66358292 5362439.770440928)))",1,3.0
16,17,19,8,"MULTIPOLYGON (((48.39977354040266 11.99338480703563, 48.39983497785518 11.99336871378154, 48.3998358682525 11.99344113342494, 48.39982369831639 11.99344262480736, 48.3998225122911 11.99343174569339, 48.39981093712174 11.9934344279024, 48.39981004672398 11.99340894691676, 48.39979787678168 11.99340909719467, 48.39977561682745 11.99341312050819, 48.39977354040266 11.99338480703563)), ((48.3997762115978 11.99351891748637, 48.39983853944437 11.99350416533679, 48.39983883507202 11.99357539415359, 48.39981390394269 11.99357807636261, 48.39981301354501 11.99354320764542, 48.39977828802249 11.99354723095894, 48.3997762115978 11.99351891748637)))",pvmodule,"MULTIPOLYGON (((4499617.677362246 5362438.186424121, 4499616.486238776 5362445.018254133, 4499621.84870322 5362445.116847327, 4499621.959030923 5362443.763563257, 4499621.153454857 5362443.631741695, 4499621.351964717 5362442.344587801, 4499619.465165776 5362442.245723594, 4499619.47618814 5362440.892446521, 4499619.773910207 5362438.417155545, 4499617.677362246 5362438.186424121)), ((4499627.607872409 5362438.482689396, 4499626.516049371 5362445.413519981, 4499631.790331145 5362445.445991977, 4499631.988731104 5362442.673679158, 4499629.406798872 5362442.574864236, 4499629.704419857 5362438.713424479, 4499627.607872409 5362438.482689396)))",1,3.0
17,18,20,8,"MULTIPOLYGON (((48.39977487600024 11.99342504017085, 48.39979624555681 11.99342235796184, 48.39982295748988 11.99345454447001, 48.39980158794456 11.99349343650073, 48.39977665679698 11.99349477760524, 48.39977665679698 11.99345856778354, 48.39977487600024 11.99342504017085)))",dormer,"MULTIPOLYGON (((4499620.656520013 5362438.334708318, 4499620.458094701 5362440.71098088, 4499622.841639929 5362443.681116446, 4499625.721296282 5362441.304638958, 4499625.820388552 5362438.532331527, 4499623.139157095 5362438.532537729, 4499620.656520013 5362438.334708318)))",1,3.0
18,19,21,8,"MULTIPOLYGON (((48.39984417745529 11.9934144616127, 48.39985456659257 11.99341297023028, 48.39985545698953 11.99342638127536, 48.39984477222482 11.99342638127536, 48.39984417745529 11.9934144616127)))",chimney,"MULTIPOLYGON (((4499619.873807585 5362446.040969234, 4499619.763465028 5362447.196231646, 4499620.756519879 5362447.295165116, 4499620.756427726 5362446.107038035, 4499619.873807585 5362446.040969234)))",1,3.0
19,20,22,8,"MULTIPOLYGON (((48.3998367586498 11.99348538987369, 48.3998367586498 11.99346259109706, 48.39983942984163 11.99345990888804, 48.39983764904708 11.99343308679789, 48.39984299143048 11.99343308679789, 48.39984388182764 11.99345990888804, 48.39984150626372 11.99346542358398, 48.39984210103328 11.99348673097819, 48.3998367586498 11.99348538987369)))",ladder,"MULTIPOLYGON (((4499625.125767689 5362445.215605344, 4499623.437586908 5362445.215735233, 4499623.239000313 5362445.512782389, 4499621.252890039 5362445.314914688, 4499621.252936064 5362445.908978343, 4499623.239038493 5362446.007835418, 4499623.647364717 5362445.743645402, 4499625.225118049 5362445.809661382, 4499625.125767689 5362445.215605344)))",1,3.0
20,21,23,8,"MULTIPOLYGON (((48.3998563473865 11.99341967575282, 48.39988394968448 11.99342101685733, 48.3998821688915 11.99342772237986, 48.3998563473865 11.99342638127536, 48.3998563473865 11.99341967575282)))",shadow,"MULTIPOLYGON (((4499620.26000399 5362447.39421423, 4499620.359546984 5362450.463533611, 4499620.856054927 5362450.265474031, 4499620.756527559 5362447.394175696, 4499620.26000399 5362447.39421423)))",1,3.0
21,22,24,9,"MULTIPOLYGON (((48.40019363760022 11.99458432029627, 48.40020788385494 11.99458163808725, 48.40023726674281 11.99457761477373, 48.40023815713308 11.9945910258188, 48.40019410233712 11.99459329247475, 48.40019363760022 11.99458432029627)), ((48.40020165111898 11.99447032641313, 48.40021144541802 11.99446898530863, 48.40021191015479 11.99448332190514, 48.40020165111898 11.9944823963537, 48.40020165111898 11.99447032641313)), ((48.40023504076703 11.99452799390695, 48.40024483505967 11.99452665280245, 48.4002452997961 11.99455440044403, 48.40023682154767 11.99454945157907, 48.40023504076703 11.99452799390695)))",unknown,"MULTIPOLYGON (((4499706.500735755 5362484.89425408, 4499706.302226626 5362486.4784251, 4499706.004518867 5362489.74576949, 4499706.997564764 5362489.844717314, 4499707.165097138 5362484.94589056, 4499706.500735755 5362484.89425408)), ((4499698.059947868 5362485.785876761, 4499697.960713481 5362486.874992038, 4499699.022290796 5362486.92660216, 4499698.953684242 5362485.785819689, 4499698.059947868 5362485.785876761)), ((4499702.330256253 5362489.498475838, 4499702.231021111 5362490.587590336, 4499704.285637259 5362490.639138732, 4499703.919132335 5362489.696395365, 4499702.330256253 5362489.498475838)))",1,4.0
22,23,25,9,"MULTIPOLYGON (((48.40016603547024 11.99447166751764, 48.40019719916428 11.99446898530863, 48.40019719916428 11.99448910187624, 48.40016603547024 11.99449178408525, 48.40016603547024 11.99447166751764)))",pvmodule,"MULTIPOLYGON (((4499698.158998761 5362481.825472564, 4499697.960612167 5362485.290833533, 4499699.45017292 5362485.290738464, 4499699.648560425 5362481.825377544, 4499698.158998761 5362481.825472564)))",1,4.0
23,24,26,9,"MULTIPOLYGON (((48.40024082830382 11.99455615710161, 48.4002412734989 11.99457627366922, 48.40021545217618 11.99457895587824, 48.40018963084032 11.99458432029627, 48.40018831479504 11.99455976486206, 48.40018874044921 11.99456018041513, 48.40021278100413 11.99453067611597, 48.40024082830382 11.99455615710161)), ((48.40022569166779 11.99445959757707, 48.40024260908422 11.99445691536806, 48.40024396421086 11.99448600411415, 48.4002354859622 11.99449312518976, 48.40022615640443 11.99448332190514, 48.40022569166779 11.99445959757707)))",dormer,"MULTIPOLYGON (((4499704.415680189 5362490.14190843, 4499705.905242765 5362490.191319973, 4499706.103671183 5362487.320021604, 4499706.500707931 5362484.448709387, 4499704.682455334 5362484.302481294, 4499704.713228547 5362484.34981136, 4499702.528707895 5362487.023216573, 4499704.415680189 5362490.14190843)), ((4499697.265686831 5362488.459194606, 4499697.06719945 5362490.340394473, 4499699.221126005 5362490.4909445, 4499699.748356012 5362489.548144488, 4499699.022391814 5362488.510760215, 4499697.265686831 5362488.459194606)))",1,4.0
24,25,27,9,"MULTIPOLYGON (((48.40023593115736 11.99451324175737, 48.40024394466948 11.99451190065286, 48.40024483505967 11.99452397059343, 48.40023682154767 11.99452397059343, 48.40023593115736 11.99451324175737)), ((48.40022168491044 11.99449044298074, 48.40023058881523 11.99448910187624, 48.40023058881523 11.99449848960779, 48.40022168491044 11.9944998307123, 48.40022168491044 11.99449044298074)))",chimney,"MULTIPOLYGON (((4499701.237918786 5362489.597554812, 4499701.138671301 5362490.488649648, 4499702.032413196 5362490.587602892, 4499702.032356845 5362489.696514363, 4499701.237918786 5362489.597554812)), ((4499699.549650341 5362488.013504299, 4499699.450409401 5362489.003609273, 4499700.145537298 5362489.00356504, 4499700.24477836 5362488.013460079, 4499699.549650341 5362488.013504299)))",1,4.0
25,26,28,9,"MULTIPOLYGON (((48.40021856854339 11.99448776077173, 48.40021856854339 11.99445959757707, 48.40022302049626 11.99445825647257, 48.40022302049626 11.99448641966722, 48.40021856854339 11.99448776077173)))",ladder,"MULTIPOLYGON (((4499699.351020259 5362487.666982382, 4499697.265636077 5362487.667115625, 4499697.166363799 5362488.162171368, 4499699.251747798 5362488.162038086, 4499699.351020259 5362487.666982382)))",1,4.0
26,27,83,19,"MULTIPOLYGON (((48.4023755129366 11.98660063766943, 48.40238708752242 11.98658990883337, 48.40240311386765 11.98658990883337, 48.40240044281047 11.9866140487145, 48.40238530681707 11.98662611865507, 48.4023755129366 11.98660063766943)))",dormer,"MULTIPOLYGON (((4499115.377638982 5362727.582739403, 4499114.583455181 5362728.869946039, 4499114.583752429 5362730.652048283, 4499116.371098595 5362730.354733434, 4499117.26451651 5362728.671488079, 4499115.377638982 5362727.582739403)))",1,14.0
27,28,84,19,"MULTIPOLYGON (((48.40243917312596 11.98658454441534, 48.40244896699416 11.98657649778829, 48.40245519945478 11.98658990883337, 48.40244451523613 11.98659929656492, 48.40243917312596 11.98658454441534)))",chimney,"MULTIPOLYGON (((4499114.187222493 5362734.66184256, 4499113.591606217 5362735.751003453, 4499114.584718485 5362736.44387673, 4499115.27961805 5362735.255693937, 4499114.187222493 5362734.66184256)))",1,14.0
28,29,29,9,"MULTIPOLYGON (((48.40024438986457 11.99451324175737, 48.40024884181518 11.99451324175737, 48.40025329376537 11.99452397059343, 48.40024617064484 11.99452531169794, 48.40024438986457 11.99451324175737)), ((48.40024349947439 11.9944636208906, 48.40025418415537 11.9944636208906, 48.40024528025472 11.99448507856271, 48.40024349947439 11.9944636208906)), ((48.40024260908422 11.99455883931062, 48.40025329376537 11.99458163808725, 48.40024129304028 11.99458122253418, 48.40024260908422 11.99455883931062)), ((48.40023149874702 11.99449270963669, 48.40024438986457 11.99449312518976, 48.40024129304028 11.99450209736824, 48.40023281479119 11.9945011718168, 48.40023149874702 11.99449270963669)))",shadow,"MULTIPOLYGON (((4499701.237978398 5362490.538148269, 4499701.238009772 5362491.033197396, 4499702.032472677 5362491.528196183, 4499702.131726542 5362490.73611135, 4499701.237978398 5362490.538148269)), ((4499697.563725598 5362490.43937249, 4499697.563801668 5362491.627490343, 4499699.152601582 5362490.637290646, 4499697.563725598 5362490.43937249)), ((4499704.614300551 5362490.339915627, 4499706.302542143 5362491.527927761, 4499706.271688549 5362490.193470029, 4499704.614300551 5362490.339915627)), ((4499699.71755758 5362489.104775088, 4499699.748419022 5362490.538242869, 4499700.412754647 5362490.193839179, 4499700.344160995 5362489.251077054, 4499699.71755758 5362489.104775088)))",1,4.0
29,30,30,10,"MULTIPOLYGON (((48.40088321427987 11.99705868123781, 48.40088944693233 11.99705599902879, 48.4009036929922 11.99711366652261, 48.4008983507202 11.99711500762712, 48.40088321427987 11.99705868123781)), ((48.40085027024704 11.99692054747354, 48.40085472214462 11.99691920636903, 48.40086629707649 11.99697016834032, 48.40086273555927 11.99697016834032, 48.40085027024704 11.99692054747354)), ((48.4008462635389 11.99701576589357, 48.40085249619587 11.99701308368455, 48.40085832971551 11.9970341026783, 48.40085298743877 11.99703678488731, 48.4008462635389 11.99701576589357)), ((48.40083735974188 11.9969674861313, 48.40084270202029 11.99696614502679, 48.40084448277962 11.99697285054933, 48.40083914050141 11.99697553275834, 48.40083735974188 11.9969674861313)), ((48.40082756556336 11.99699699043046, 48.40083468860249 11.99699564932596, 48.40084092126088 11.99701844810258, 48.40083201746292 11.99701978920709, 48.40082756556336 11.99699699043046)), ((48.40084003088113 11.99704661129724, 48.4008471539185 11.99704527019273, 48.40085338657538 11.99707075117837, 48.40084497402258 11.9970703125, 48.40084003088113 11.99704661129724)), ((48.40081866176308 11.99704527019273, 48.40081688100282 11.99703051804315, 48.40082489442344 11.99702381252061, 48.40083379822264 11.9970573401333, 48.40080975796123 11.99707209228288, 48.40080668768338 11.99705690145493, 48.40081866176308 11.99704527019273)), ((48.40079016959167 11.99711500762712, 48.400803525299 11.9971659695984, 48.40079907339695 11.99717133401643, 48.40078571768844 11.99711903094064, 48.40079016959167 11.99711500762712)))",unknown,"MULTIPOLYGON (((4499889.720745919 5362561.56549619, 4499889.522161412 5362562.25856232, 4499893.792224269 5362563.842572154, 4499893.891509468 5362563.248517853, 4499889.720745919 5362561.56549619)), ((4499879.492449199 5362557.902494571, 4499879.393162249 5362558.397541031, 4499883.166707828 5362559.684533956, 4499883.166695427 5362559.288499423, 4499879.492449199 5362557.902494571)), ((4499886.542932834 5362557.456734642, 4499886.344348571 5362558.149801381, 4499887.900730571 5362558.798430994, 4499888.099318014 5362558.204373044, 4499886.542932834 5362557.456734642)), ((4499882.968001469 5362556.466758803, 4499882.868717295 5362557.060814, 4499883.365237458 5362557.258815794, 4499883.56382448 5362556.664757526, 4499882.968001469 5362556.466758803)), ((4499885.152629443 5362555.377595099, 4499885.053351157 5362556.169667756, 4499886.741520181 5362556.862676507, 4499886.840792621 5362555.872586585, 4499885.152629443 5362555.377595099)), ((4499888.826875924 5362556.763604227, 4499888.727597149 5362557.555676626, 4499890.614370858 5362558.24868034, 4499890.581860626 5362557.313220048, 4499888.826875924 5362556.763604227)), ((4499888.727501055 5362554.387398415, 4499887.635163764 5362554.189414203, 4499887.138676818 5362555.080507835, 4499889.621277406 5362556.070519397, 4499890.713528185 5362553.397251223, 4499889.588704251 5362553.055875491, 4499888.727501055 5362554.387398415)), ((4499893.89115556 5362551.218964173, 4499897.664708317 5362552.703985866, 4499898.061905597 5362552.208930685, 4499894.18904971 5362550.723911512, 4499893.89115556 5362551.218964173)))",1,5.0
30,31,31,10,"MULTIPOLYGON (((48.40075232840185 11.99697285054933, 48.40080308010882 11.99693798183214, 48.40082355885342 11.99701308368455, 48.40081247515512 11.99701935052872, 48.40081554543259 11.99703185914766, 48.40080486086956 11.9970399057747, 48.40079555792821 11.99700325727463, 48.40076568411914 11.99702247141611, 48.40075232840185 11.99697285054933)))",pvmodule,"MULTIPOLYGON (((4499883.364916967 5362547.01140906, 4499880.783218823 5362552.654992037, 4499886.344249624 5362554.932019142, 4499886.808243796 5362553.699516891, 4499887.734462078 5362554.040898082, 4499888.330243039 5362552.852775088, 4499885.616551477 5362551.81838731, 4499887.039172336 5362548.496427891, 4499883.364916967 5362547.01140906)))",1,5.0
